



              Maximum Pseudo-likelihood Estimation of Species Trees (MPEST_2.0)  

                                     by

                                  Liang Liu

                          Department of Statistics
                            University of Georgia
                                 lliu@uga.edu

                 Distributed under the GNU General Public License

	round 1000 		loglike -18662.507795 	....completed....
	round 2000 		loglike -11484.373490 	....completed....
	round 3000 		loglike -10291.514053 	....completed....
	round 4000 		loglike -9770.232993 	....completed....
	round 5000 		loglike -9521.059719 	....completed....
	round 6000 		loglike -9381.075685 	....completed....
	round 7000 		loglike -9323.707203 	....completed....
	round 8000 		loglike -9303.635994 	....completed....
	round 9000 		loglike -9289.703616 	....completed....
	round 10000 		loglike -9289.702267 	....completed....
	round 11000 		loglike -9289.702267 	....completed....
	round 12000 		loglike -9289.702267 	....completed....
	round 13000 		loglike -9289.702267 	....completed....
	round 14000 		loglike -9289.702246 	....completed....
	round 15000 		loglike -9289.702246 	....completed....
	round 16000 		loglike -9289.702246 	....completed....
	round 17000 		loglike -9289.702147 	....completed....
	round 18000 		loglike -9289.702147 	....completed....
	round 19000 		loglike -9289.702145 	....completed....
	round 20000 		loglike -9289.702143 	....completed....
	round 21000 		loglike -9289.702143 	....completed....
	round 22000 		loglike -9289.702143 	....completed....
	round 23000 		loglike -9289.702143 	....completed....
	round 24000 		loglike -9289.702143 	....completed....
	round 25000 		loglike -9289.702143 	....completed....
	round 26000 		loglike -9289.702143 	....completed....
	round 27000 		loglike -9289.702143 	....completed....
	round 28000 		loglike -9289.702143 	....completed....
	round 29000 		loglike -9289.702143 	....completed....
	round 30000 		loglike -9289.702143 	....completed....
	round 31000 		loglike -9289.702143 	....completed....
	round 32000 		loglike -9289.702143 	....completed....
	round 33000 		loglike -9289.702143 	....completed....
	round 34000 		loglike -9289.702143 	....completed....
	round 35000 		loglike -9289.702143 	....completed....
	round 36000 		loglike -9289.702143 	....completed....
	round 37000 		loglike -9289.702143 	....completed....
	round 38000 		loglike -9289.702143 	....completed....
	round 39000 		loglike -9289.702143 	....completed....
	round 40000 		loglike -9289.702143 	....completed....
	round 41000 		loglike -9289.702143 	....completed....
	round 42000 		loglike -9289.702143 	....completed....
			Analysis completed in less than 1 second
	round 1000 		loglike -15944.043110 	....completed....
	round 2000 		loglike -11338.737089 	....completed....
	round 3000 		loglike -9950.355272 	....completed....
	round 4000 		loglike -9570.656559 	....completed....
	round 5000 		loglike -9386.351241 	....completed....
	round 6000 		loglike -9332.434507 	....completed....
	round 7000 		loglike -9298.243578 	....completed....
	round 8000 		loglike -9289.702265 	....completed....
	round 9000 		loglike -9289.702156 	....completed....
	round 10000 		loglike -9289.702156 	....completed....
	round 11000 		loglike -9289.702156 	....completed....
	round 12000 		loglike -9289.702156 	....completed....
	round 13000 		loglike -9289.702144 	....completed....
	round 14000 		loglike -9289.702144 	....completed....
	round 15000 		loglike -9289.702144 	....completed....
	round 16000 		loglike -9289.702144 	....completed....
	round 17000 		loglike -9289.702144 	....completed....
	round 18000 		loglike -9289.702144 	....completed....
	round 19000 		loglike -9289.702144 	....completed....
	round 20000 		loglike -9289.702144 	....completed....
	round 21000 		loglike -9289.702144 	....completed....
	round 22000 		loglike -9289.702144 	....completed....
	round 23000 		loglike -9289.702144 	....completed....
	round 24000 		loglike -9289.702144 	....completed....
	round 25000 		loglike -9289.702144 	....completed....
	round 26000 		loglike -9289.702144 	....completed....
	round 27000 		loglike -9289.702143 	....completed....
	round 28000 		loglike -9289.702143 	....completed....
	round 29000 		loglike -9289.702143 	....completed....
	round 30000 		loglike -9289.702143 	....completed....
	round 31000 		loglike -9289.702143 	....completed....
	round 32000 		loglike -9289.702143 	....completed....
	round 33000 		loglike -9289.702143 	....completed....
	round 34000 		loglike -9289.702143 	....completed....
	round 35000 		loglike -9289.702143 	....completed....
	round 36000 		loglike -9289.702143 	....completed....
	round 37000 		loglike -9289.702143 	....completed....
	round 38000 		loglike -9289.702143 	....completed....
	round 39000 		loglike -9289.702143 	....completed....
	round 40000 		loglike -9289.702143 	....completed....
	round 41000 		loglike -9289.702143 	....completed....
	round 42000 		loglike -9289.702143 	....completed....
	round 43000 		loglike -9289.702143 	....completed....
	round 44000 		loglike -9289.702143 	....completed....
	round 45000 		loglike -9289.702143 	....completed....
	round 46000 		loglike -9289.702143 	....completed....
	round 47000 		loglike -9289.702143 	....completed....
	round 48000 		loglike -9289.702143 	....completed....
	round 49000 		loglike -9289.702143 	....completed....
	round 50000 		loglike -9289.702143 	....completed....
	round 51000 		loglike -9289.702143 	....completed....
	round 52000 		loglike -9289.702143 	....completed....
			Analysis completed in less than 1 second
	round 1000 		loglike -14776.141244 	....completed....
	round 2000 		loglike -11099.656896 	....completed....
	round 3000 		loglike -10042.967137 	....completed....
	round 4000 		loglike -9662.796089 	....completed....
	round 5000 		loglike -9460.096264 	....completed....
	round 6000 		loglike -9376.578194 	....completed....
	round 7000 		loglike -9321.309307 	....completed....
	round 8000 		loglike -9299.173763 	....completed....
	round 9000 		loglike -9289.702925 	....completed....
	round 10000 		loglike -9289.702173 	....completed....
	round 11000 		loglike -9289.702173 	....completed....
	round 12000 		loglike -9289.702173 	....completed....
	round 13000 		loglike -9289.702161 	....completed....
	round 14000 		loglike -9289.702161 	....completed....
	round 15000 		loglike -9289.702161 	....completed....
	round 16000 		loglike -9289.702161 	....completed....
	round 17000 		loglike -9289.702161 	....completed....
	round 18000 		loglike -9289.702156 	....completed....
	round 19000 		loglike -9289.702156 	....completed....
	round 20000 		loglike -9289.702156 	....completed....
	round 21000 		loglike -9289.702156 	....completed....
	round 22000 		loglike -9289.702156 	....completed....
	round 23000 		loglike -9289.702156 	....completed....
	round 24000 		loglike -9289.702156 	....completed....
	round 25000 		loglike -9289.702156 	....completed....
	round 26000 		loglike -9289.702143 	....completed....
	round 27000 		loglike -9289.702143 	....completed....
	round 28000 		loglike -9289.702143 	....completed....
	round 29000 		loglike -9289.702143 	....completed....
	round 30000 		loglike -9289.702143 	....completed....
	round 31000 		loglike -9289.702143 	....completed....
	round 32000 		loglike -9289.702143 	....completed....
	round 33000 		loglike -9289.702143 	....completed....
	round 34000 		loglike -9289.702143 	....completed....
	round 35000 		loglike -9289.702143 	....completed....
	round 36000 		loglike -9289.702143 	....completed....
	round 37000 		loglike -9289.702143 	....completed....
	round 38000 		loglike -9289.702143 	....completed....
	round 39000 		loglike -9289.702143 	....completed....
	round 40000 		loglike -9289.702143 	....completed....
	round 41000 		loglike -9289.702143 	....completed....
	round 42000 		loglike -9289.702143 	....completed....
	round 43000 		loglike -9289.702143 	....completed....
	round 44000 		loglike -9289.702143 	....completed....
	round 45000 		loglike -9289.702143 	....completed....
	round 46000 		loglike -9289.702143 	....completed....
	round 47000 		loglike -9289.702143 	....completed....
	round 48000 		loglike -9289.702143 	....completed....
			Analysis completed in less than 1 second
	round 1000 		loglike -16681.729154 	....completed....
	round 2000 		loglike -11957.405532 	....completed....
	round 3000 		loglike -10380.488981 	....completed....
	round 4000 		loglike -9682.765753 	....completed....
	round 5000 		loglike -9465.815735 	....completed....
	round 6000 		loglike -9349.648165 	....completed....
	round 7000 		loglike -9309.356503 	....completed....
	round 8000 		loglike -9293.181740 	....completed....
	round 9000 		loglike -9289.702146 	....completed....
	round 10000 		loglike -9289.702146 	....completed....
	round 11000 		loglike -9289.702146 	....completed....
	round 12000 		loglike -9289.702146 	....completed....
	round 13000 		loglike -9289.702146 	....completed....
	round 14000 		loglike -9289.702146 	....completed....
	round 15000 		loglike -9289.702146 	....completed....
	round 16000 		loglike -9289.702146 	....completed....
	round 17000 		loglike -9289.702146 	....completed....
	round 18000 		loglike -9289.702146 	....completed....
	round 19000 		loglike -9289.702146 	....completed....
	round 20000 		loglike -9289.702146 	....completed....
	round 21000 		loglike -9289.702146 	....completed....
	round 22000 		loglike -9289.702146 	....completed....
	round 23000 		loglike -9289.702146 	....completed....
	round 24000 		loglike -9289.702146 	....completed....
	round 25000 		loglike -9289.702146 	....completed....
	round 26000 		loglike -9289.702146 	....completed....
	round 27000 		loglike -9289.702146 	....completed....
	round 28000 		loglike -9289.702146 	....completed....
	round 29000 		loglike -9289.702146 	....completed....
	round 30000 		loglike -9289.702146 	....completed....
	round 31000 		loglike -9289.702146 	....completed....
	round 32000 		loglike -9289.702146 	....completed....
	round 33000 		loglike -9289.702146 	....completed....
	round 34000 		loglike -9289.702146 	....completed....
	round 35000 		loglike -9289.702146 	....completed....
	round 36000 		loglike -9289.702146 	....completed....
	round 37000 		loglike -9289.702146 	....completed....
	round 38000 		loglike -9289.702146 	....completed....
	round 39000 		loglike -9289.702146 	....completed....
	round 40000 		loglike -9289.702146 	....completed....
	round 41000 		loglike -9289.702146 	....completed....
	round 42000 		loglike -9289.702146 	....completed....
	round 43000 		loglike -9289.702146 	....completed....
	round 44000 		loglike -9289.702146 	....completed....
	round 45000 		loglike -9289.702146 	....completed....
	round 46000 		loglike -9289.702146 	....completed....
	round 47000 		loglike -9289.702146 	....completed....
	round 48000 		loglike -9289.702146 	....completed....
	round 49000 		loglike -9289.702146 	....completed....
	round 50000 		loglike -9289.702146 	....completed....
	round 51000 		loglike -9289.702146 	....completed....
	round 52000 		loglike -9289.702146 	....completed....
	round 53000 		loglike -9289.702146 	....completed....
	round 54000 		loglike -9289.702146 	....completed....
	round 55000 		loglike -9289.702146 	....completed....
	round 56000 		loglike -9289.702146 	....completed....
	round 57000 		loglike -9289.702146 	....completed....
	round 58000 		loglike -9289.702146 	....completed....
